rank,votesCount,commentsCount,launch_hour,weekday,month,is_featured,description_length,tagline_length,topic_count,maker_count,maker_total_followers,hunter_followers_count,media_count,has_video,self_launched,primary_topic
7,116.0,14.0,1,6,5,True,378,58,3,3,33,57868.0,9,True,False,Crypto
5,66.0,0.0,7,5,6,True,265,54,3,6,0,4245.0,8,False,False,Productivity
10,127.0,7.0,10,1,5,True,48,43,3,3,0,0.0,4,True,False,Venture Capital
1,0.0,14.0,3,3,5,True,422,60,3,3,244,2568.0,10,True,False,Design Tools
1,0.0,65.0,10,3,5,False,467,58,2,0,0,518.0,6,True,False,SaaS
2,23.0,20.0,12,3,6,True,293,37,3,0,135,3543.0,6,False,False,Design Tools
38,194.0,18.0,7,5,5,False,344,48,1,1,0,2809.0,7,True,False,Writing
5,52.0,31.0,6,1,5,True,458,60,4,1,0,2181.0,9,True,False,Cars
1,59.0,67.0,7,5,6,False,124,58,1,0,507,3653.0,1,True,False,Productivity
74,331.0,0.0,20,0,5,False,418,60,3,1,129,955.0,8,False,False,Streaming Services
1,87.0,57.0,4,6,6,True,500,52,3,1,229,6905.0,10,False,False,Web App
1,7.0,26.0,19,6,1,True,89,51,3,0,0,27447.0,4,False,False,Tech
23,4.0,120.0,7,0,6,True,500,60,3,1,0,1605.0,5,True,False,Android
14,265.0,0.0,15,3,5,False,376,54,3,2,0,4326.0,5,False,False,Android
20,94.0,13.0,6,0,5,True,331,56,3,3,0,0.0,4,True,False,Time Tracking
15,154.0,149.0,6,0,6,True,500,52,1,1,527,0.0,6,False,False,Artificial Intelligence
1,89.0,27.0,14,3,5,True,104,49,3,1,0,1610.0,8,True,False,Android
2,54.0,20.0,14,4,1,True,308,47,3,3,0,0.0,10,True,False,Android
1,0.0,0.0,19,5,5,False,362,60,2,1,258,29450.0,6,False,False,Productivity
6,30.0,2.0,23,1,5,False,304,50,2,1,0,0.0,20,False,False,Android
3,0.0,0.0,15,0,5,True,60,25,2,2,0,14243.0,7,True,False,Marketing
12,43.0,14.0,7,1,5,True,500,42,3,1,111,4711.0,3,False,False,Social Media
7,12.0,0.0,17,4,5,True,245,57,3,0,0,0.0,8,False,False,Advertising
26,14.0,0.0,7,4,5,True,402,44,2,3,3674,3137.0,6,False,False,Robots
19,0.0,2.0,6,3,6,True,429,49,3,2,0,2142.0,8,False,False,Productivity
1,30.0,39.0,19,5,5,False,426,54,5,2,319,627.0,6,False,False,Hardware
5,20.0,25.0,7,3,6,True,242,58,2,1,10,0.0,17,True,False,Android
9,117.0,0.0,10,6,6,True,112,55,1,1,0,3148.0,5,True,False,Sales
3,66.0,11.0,22,6,5,True,462,56,3,1,485,0.0,2,False,False,Android
1,68.0,44.0,23,3,6,True,423,49,3,21,273,0.0,7,True,False,iOS
11,0.0,0.0,7,5,6,False,500,55,3,1,46,3707.0,6,True,False,Crypto
1,37.0,38.0,10,3,6,True,234,60,3,1,0,3076.0,3,False,False,Productivity
1,19.0,72.0,7,5,6,True,374,60,2,1,147,0.0,9,True,False,API
1,103.0,1.0,9,0,5,True,377,18,3,4,0,4625.0,4,False,False,Emoji
42,100.0,2.0,6,6,5,True,48,41,3,1,147,2176.0,7,False,False,Developer Tools
7,0.0,58.0,7,6,5,True,382,59,3,0,0,13479.0,6,False,False,Customer Success
38,8.0,17.0,6,4,1,True,500,28,3,1,12,1454.0,11,True,False,Email Marketing
5,148.0,59.0,6,3,6,True,447,59,4,1,0,132234.0,7,False,False,Marketing
1,0.0,2.0,14,1,6,False,373,44,2,0,0,2502.0,4,False,False,Sales
13,57.0,0.0,14,6,5,True,132,40,3,1,50,42.0,6,True,False,Productivity
14,24.0,27.0,7,0,6,True,500,51,3,2,308,0.0,8,False,False,Streaming Services
1,119.0,14.0,0,3,5,True,105,37,3,2,0,4166.0,13,True,False,Design Tools
20,186.0,18.0,7,1,6,True,448,29,2,1,0,2099.0,7,False,False,Productivity
9,257.0,0.0,22,1,6,True,380,47,3,1,157,4759.0,4,True,False,Marketing
7,0.0,7.0,6,0,5,True,500,35,2,1,232,62234.0,2,False,False,Productivity
10,26.0,14.0,7,0,5,True,474,26,3,1,321,4633.0,7,False,False,Health & Fitness
10,27.0,76.0,7,3,5,True,457,37,2,2,421,2155.0,10,True,False,Chrome Extensions
1,0.0,42.0,3,1,5,True,206,56,3,1,0,0.0,4,False,False,Venture Capital
15,114.0,0.0,7,6,6,False,239,60,4,1,6433,16138.0,6,False,False,Robots
11,56.0,11.0,20,2,5,True,254,54,4,1,0,0.0,5,True,False,SaaS
19,76.0,13.0,7,5,5,True,135,56,3,1,0,0.0,6,False,False,User Experience
3,33.0,40.0,22,4,6,True,500,38,3,2,204,120658.0,5,False,False,Payments
17,182.0,14.0,11,4,5,True,475,59,3,5,346,2651.0,3,False,False,Prototyping
2,0.0,33.0,11,0,9,True,272,58,3,3,0,0.0,16,False,False,Productivity
60,76.0,0.0,7,3,5,False,188,60,2,2,0,21939.0,6,False,False,Mac
2,125.0,3.0,20,6,5,False,434,58,1,1,58,2137.0,21,False,False,Android
16,2.0,18.0,6,1,5,True,265,32,1,1,536,3315.0,8,False,False,Art
1,11.0,0.0,10,1,6,True,48,22,3,5,0,203.0,7,True,False,Chrome Extensions
1,32.0,0.0,15,0,5,True,367,60,3,1,393,0.0,5,False,False,Productivity
18,16.0,18.0,13,0,5,True,286,50,3,1,165,1291.0,20,True,False,Artificial Intelligence
16,33.0,33.0,7,4,5,True,367,57,3,1,0,1484.0,21,True,False,Software Engineering
1,146.0,47.0,21,5,6,True,321,57,8,1,313,2044.0,5,False,False,Home
2,505.0,0.0,7,0,5,True,450,60,3,3,725,614.0,3,False,False,Sales
2,4.0,0.0,8,1,5,True,434,60,3,1,298,31623.0,6,True,False,Software Engineering
10,35.0,5.0,7,4,6,True,500,58,3,1,109,2774.0,9,False,False,Mac
10,98.0,7.0,18,3,6,True,500,55,3,1,752,2121.0,9,True,False,SaaS
12,2661.0,31.0,23,0,5,True,456,51,3,1,0,4690.0,9,True,False,Customer Communication
9,100.0,92.0,23,3,6,True,492,45,2,1,190,746.0,0,False,False,Mac
1,6.0,90.0,23,6,6,True,476,47,3,5,138,3450.0,8,True,False,Android
1,56.0,0.0,5,3,6,False,500,29,2,0,108,5583.0,7,False,False,Hiring
3,3.0,0.0,3,6,2,False,500,50,1,1,69,3341.0,8,True,False,Developer Tools
21,466.0,51.0,7,0,5,True,351,26,3,1,1829,159483.0,6,False,False,Productivity
10,50.0,0.0,7,4,5,True,195,60,2,1,0,48665.0,3,False,False,Productivity
11,0.0,21.0,7,1,6,False,122,55,3,5,0,0.0,3,False,False,Developer Tools
1,154.0,6.0,20,1,5,True,323,59,3,1,251,111810.0,6,True,False,Web App
13,96.0,8.0,7,1,5,True,222,54,4,1,0,3387.0,7,True,False,Mac
1,64.0,65.0,6,3,6,True,424,45,2,2,135,0.0,6,True,False,Mac
1,43.0,1.0,17,0,5,True,301,55,8,5,304,548.0,3,True,False,Web App
8,0.0,3.0,15,0,5,False,455,55,2,1,171,1872.0,6,False,False,Open Source
2,69.0,0.0,17,6,6,True,376,57,1,1,28,5329.0,5,False,False,Startup Books
9,0.0,7.0,7,5,6,True,471,60,3,1,330,589.0,6,False,False,Open Source
20,0.0,0.0,8,5,6,False,198,60,3,1,374,0.0,7,False,False,Fintech
5,36.0,38.0,16,4,5,True,466,55,1,1,0,4221.0,3,True,False,Hardware
9,696.0,26.0,9,4,6,True,386,59,3,2,0,0.0,5,True,False,Health & Fitness
2,1031.0,0.0,6,0,6,True,460,58,3,1,366,1443.0,8,False,False,Productivity
1,0.0,2.0,6,0,1,True,496,59,1,1,166,0.0,3,False,False,User Experience
1,539.0,57.0,7,0,5,True,124,33,3,3,0,935.0,6,False,False,Marketing
13,119.0,42.0,6,4,5,True,313,38,3,0,0,20843.0,9,True,False,Productivity
9,118.0,76.0,6,5,6,False,380,55,3,4,415,0.0,5,False,False,Analytics
11,107.0,0.0,7,5,5,False,135,57,4,1,0,2021.0,9,True,False,Slack
9,344.0,5.0,21,2,5,True,210,57,1,0,0,0.0,2,True,False,API
3,27.0,29.0,21,3,6,True,500,57,2,0,30809,43776.0,7,True,False,Mac
2,34.0,85.0,10,3,5,True,384,48,3,0,439,1582.0,6,False,False,Productivity
3,0.0,99.0,6,1,5,True,332,53,3,2,197,983.0,7,False,False,iOS
3,30.0,40.0,8,6,5,True,136,57,3,5,19,666.0,4,True,False,Analytics
14,218.0,3.0,9,4,6,True,451,52,3,1,0,8514.0,8,False,False,API
9,43.0,5.0,19,4,5,True,452,56,3,1,156,2091.0,5,False,False,Productivity
28,72.0,55.0,7,1,4,True,500,52,4,5,197,4159.0,5,False,False,Social Media
20,147.0,29.0,7,4,6,True,500,58,4,2,52,128632.0,9,False,False,Marketing
88,58.0,0.0,6,1,6,False,451,45,5,4,683,1392.0,5,False,False,Payments
15,95.0,3.0,7,2,5,False,469,51,1,1,50,2093.0,6,False,False,Marketing
6,118.0,0.0,10,5,6,False,382,58,3,1,0,2044.0,8,True,False,Productivity
13,175.0,21.0,1,5,5,True,203,37,3,2,0,23840.0,8,True,False,Mac
1,151.0,107.0,7,4,6,True,491,57,3,1,0,21622.0,1,False,False,Email
1,105.0,13.0,13,6,5,True,499,46,3,7,172,4645.0,5,True,False,Menu Bar Apps
2,116.0,131.0,6,3,5,True,281,38,1,2,454,0.0,12,True,False,Health & Fitness
5,172.0,17.0,7,2,6,True,486,37,3,6,0,24394.0,5,False,False,Health & Fitness
1,10.0,48.0,6,5,6,True,456,60,2,0,0,0.0,6,True,False,Mac
33,14.0,20.0,6,2,6,True,307,60,3,1,28,0.0,7,False,False,Messaging
10,199.0,55.0,7,5,6,True,371,29,3,4,0,3483.0,7,False,False,Social Media
3,286.0,13.0,14,0,2,True,257,54,3,4,855,53479.0,9,True,False,Mac
19,137.0,0.0,4,2,6,True,150,60,3,2,0,0.0,5,True,False,Artificial Intelligence
5,141.0,21.0,6,4,6,True,338,51,3,1,490,0.0,10,True,False,Kids
15,81.0,0.0,7,4,5,True,466,58,3,1,626,4654.0,7,False,False,Mac
4,100.0,34.0,17,5,5,True,409,48,3,1,0,129811.0,27,True,False,Social Media
1,141.0,0.0,8,3,5,True,346,39,3,2,0,2797.0,8,False,False,SaaS
1,57.0,42.0,7,6,5,False,314,38,3,3,0,127923.0,7,True,False,Software Engineering
15,95.0,3.0,15,4,5,False,443,48,2,1,0,3982.0,7,False,False,Productivity
1,98.0,6.0,18,1,6,True,459,57,3,1,292,6907.0,9,False,False,Open Source
47,256.0,25.0,19,0,4,False,288,54,2,4,0,3110.0,4,False,False,Productivity
7,25.0,1.0,6,0,5,True,500,60,3,5,99,1132.0,3,False,False,Writing
3,0.0,0.0,23,0,5,False,500,47,3,5,30,0.0,0,False,False,Design Tools
9,104.0,153.0,6,0,5,True,500,50,3,0,409,0.0,5,False,False,API
4,73.0,153.0,8,5,2,True,434,59,3,1,180,0.0,25,False,False,Productivity
1,156.0,19.0,7,0,6,True,346,54,4,1,134,0.0,11,True,False,Home
1,0.0,112.0,12,5,4,True,179,59,4,2,300,3337.0,6,False,False,Prototyping
1,6.0,1.0,6,0,5,True,485,60,3,5,593,3470.0,2,False,False,Email
9,100.0,61.0,14,5,6,True,131,52,3,2,242,11221.0,22,True,False,Linux
4,113.0,36.0,14,3,6,True,398,56,3,1,113,155925.0,8,True,False,Mac
1,0.0,5.0,7,0,7,True,487,45,3,1,212,111230.0,8,True,False,Android
18,85.0,38.0,12,5,6,True,500,60,3,8,104,781.0,8,False,False,Social Media
3,494.0,32.0,7,6,6,True,430,56,3,0,3254,167019.0,1,True,False,Productivity
24,71.0,39.0,7,5,5,True,182,51,4,2,3050,5067.0,12,True,False,Comics & Graphic Novels
7,171.0,12.0,7,2,5,True,48,55,3,8,9057,3534.0,7,False,False,Web App
5,0.0,12.0,7,3,6,True,500,60,4,1,435,0.0,7,True,False,Developer Tools
9,44.0,5.0,6,0,5,True,481,60,3,1,558,0.0,6,True,False,Robots
9,12.0,0.0,20,5,5,True,445,60,1,1,0,3325.0,5,False,False,Productivity
7,152.0,9.0,7,0,6,True,498,53,3,5,547,0.0,7,True,False,Open Source
4,0.0,14.0,6,0,6,True,109,56,3,0,17,2003.0,11,False,False,Artificial Intelligence
131,47.0,5.0,6,3,5,True,404,60,4,1,70,1027.0,9,False,False,Vibe coding
1,81.0,4.0,7,2,6,True,174,58,8,0,122,3991.0,9,True,False,Email
5,106.0,2.0,23,1,5,True,457,60,3,1,0,0.0,5,True,False,Chrome Extensions
3,160.0,18.0,17,1,8,True,193,51,3,4,0,0.0,9,True,False,Chrome Extensions
7,92.0,134.0,6,3,5,True,500,50,9,6,458,5083.0,7,False,False,Analytics
31,161.0,184.0,6,5,4,True,218,45,3,2,140,29278.0,9,False,False,Productivity
1,105.0,0.0,13,1,5,True,460,56,3,1,0,30340.0,14,True,False,Productivity
15,162.0,0.0,13,3,6,True,458,35,3,3,107,0.0,8,True,False,Sales
13,660.0,8.0,7,2,5,True,476,57,3,1,170,119707.0,8,False,False,API
4,79.0,36.0,7,3,6,True,465,53,3,3,17034,0.0,6,False,False,Android
1,0.0,57.0,1,1,5,True,410,25,5,1,294,17450.0,3,True,False,Time Tracking
12,120.0,109.0,23,2,5,True,372,49,3,2,0,0.0,2,False,False,Tech
14,56.0,0.0,7,1,6,True,469,60,4,5,1,2255.0,7,True,False,Chrome Extensions
1,75.0,11.0,15,6,6,True,409,53,2,1,173,3829.0,6,False,False,Android
1,14.0,19.0,10,1,5,True,500,50,2,3,2449,0.0,9,True,False,Mac
1,108.0,0.0,16,3,5,True,456,55,3,1,815,2401.0,8,True,False,Open Source
1,104.0,0.0,6,6,5,True,489,48,3,1,252,133054.0,5,False,False,Mac
1,28.0,1.0,7,3,9,True,336,55,3,1,0,3846.0,7,True,False,Tech
2,112.0,16.0,7,5,5,True,207,59,3,1,247,356.0,8,False,False,Customer Success
17,69.0,0.0,7,0,6,True,400,60,4,5,386,0.0,8,False,False,Web App
7,0.0,8.0,6,4,5,True,490,54,2,1,3257,133225.0,5,False,False,Retro Games
1,0.0,38.0,7,4,1,True,500,48,3,4,0,0.0,4,True,False,Chrome Extensions
10,0.0,3.0,7,0,5,False,384,50,3,1,60,1798.0,4,False,False,API
1,87.0,34.0,6,3,6,True,500,55,3,2,294,0.0,7,False,False,Developer Tools
1,57.0,2.0,20,0,5,True,154,60,4,1,0,555.0,7,False,False,Web App
5,57.0,73.0,6,0,6,True,318,51,2,1,2669,1230.0,2,False,False,Productivity
1,26.0,0.0,21,1,5,True,266,56,2,6,301,0.0,6,False,False,API
1,61.0,76.0,7,1,5,True,293,48,3,4,0,0.0,4,False,False,Productivity
1,27.0,13.0,6,3,5,True,363,60,3,1,654,0.0,8,False,False,Web App
8,50.0,111.0,13,1,5,False,360,60,2,2,0,144884.0,5,False,False,Analytics
1,163.0,0.0,7,3,5,False,97,39,3,4,374,170171.0,7,False,False,Software Engineering
17,10.0,1.0,7,0,5,True,81,60,3,1,0,0.0,7,False,False,Email Marketing
15,172.0,65.0,7,4,5,True,500,56,3,1,410,5607.0,13,True,False,Android
13,561.0,9.0,20,5,6,True,358,43,3,5,279,0.0,7,False,False,Artificial Intelligence
25,60.0,26.0,14,6,5,True,500,55,3,1,310,0.0,8,True,False,Open Source
1,104.0,57.0,21,3,6,True,265,56,3,1,2053,149526.0,10,True,False,iOS
12,745.0,88.0,6,3,6,True,381,49,3,2,421,5161.0,4,True,False,SaaS
1,24.0,0.0,7,6,6,False,322,57,3,17,582,5483.0,7,False,False,Design Tools
24,141.0,17.0,6,3,7,True,83,52,3,2,1495,2379.0,8,True,False,Productivity
222,70.0,6.0,19,6,5,False,441,21,3,1,0,0.0,4,True,False,Venture Capital
5,31.0,44.0,12,4,5,True,500,58,3,1,0,0.0,11,True,False,Health & Fitness
5,189.0,0.0,20,0,5,True,240,53,3,1,204,3353.0,4,False,False,Web App
15,6.0,0.0,6,1,5,True,500,55,2,1,19,0.0,6,False,False,Open Source
2,45.0,0.0,0,3,5,False,384,41,2,3,0,2544.0,0,True,False,Android
8,63.0,39.0,8,3,6,True,293,52,3,1,0,366.0,6,True,False,Sales
17,0.0,0.0,7,0,5,False,468,40,1,1,0,0.0,8,False,False,Productivity
1,224.0,7.0,8,4,5,True,357,52,2,1,49566,34577.0,7,False,False,Health & Fitness
3,77.0,57.0,6,6,6,False,437,42,3,8,417,22140.0,7,False,False,Home
1,0.0,54.0,6,3,5,True,488,24,3,1,2519,0.0,4,False,False,Productivity
7,92.0,0.0,7,0,6,False,481,54,3,1,375,656.0,7,True,False,Productivity
8,19.0,0.0,7,3,9,False,270,58,3,1,233,704.0,6,False,False,Sales
1,2.0,13.0,6,3,6,False,325,42,3,4,120,3459.0,3,True,False,Android
8,207.0,14.0,12,5,6,False,276,46,3,1,29,2823.0,9,False,False,Design Tools
1,123.0,26.0,7,0,5,True,450,32,3,1,128,2942.0,9,False,False,Mac
1,305.0,57.0,23,6,5,True,391,54,3,6,339,1815.0,6,True,False,Productivity
8,0.0,22.0,6,3,5,True,446,56,3,2,364,20421.0,4,False,False,Productivity
1,0.0,0.0,14,0,6,True,500,60,3,1,356,87.0,5,False,False,Productivity
10,56.0,2.0,0,3,6,True,168,43,3,4,340,0.0,4,False,False,Productivity
3,98.0,21.0,7,2,6,True,500,57,3,1,260,0.0,0,True,False,Sales
4,18.0,0.0,0,0,5,True,287,43,3,1,445,0.0,7,False,False,Productivity
1,0.0,0.0,7,2,5,True,48,60,3,1,274,75778.0,8,False,False,API
1,54.0,0.0,6,0,5,True,222,51,3,2,199,1641.0,0,True,False,Education
15,90.0,11.0,7,2,5,True,229,22,3,0,45,65619.0,19,True,False,Mac
1,0.0,18.0,10,4,6,True,308,45,3,3,554,0.0,6,True,False,Open Source
1,0.0,0.0,7,4,5,True,218,52,1,1,558,5420.0,7,False,False,Mac
6,196.0,11.0,0,3,5,True,500,58,3,0,485,3334.0,5,False,False,Fintech
1,0.0,0.0,9,6,5,False,163,55,3,1,413,2805.0,7,True,False,Social Media
1,59.0,1.0,7,1,5,True,236,45,3,1,121,0.0,6,True,False,Mac
6,47.0,0.0,17,0,5,True,152,52,4,5,53,0.0,6,True,False,iOS
2,52.0,13.0,23,4,5,True,500,60,2,1,763,0.0,8,True,False,Task Management
11,43.0,0.0,6,0,5,True,500,47,3,1,363,4617.0,5,True,False,Retro Games
3,102.0,26.0,20,5,5,True,442,56,3,10,91,0.0,8,True,False,Productivity
17,83.0,0.0,7,1,5,True,358,49,1,1,0,0.0,4,True,False,Chrome Extensions
28,0.0,5.0,7,3,5,True,48,57,3,1,0,3539.0,3,False,False,Productivity
1,85.0,93.0,7,4,6,True,278,52,3,0,2527,1205.0,8,True,False,Robots
16,182.0,18.0,6,0,5,False,390,54,3,1,0,0.0,5,True,False,Android
10,162.0,0.0,7,2,5,False,500,57,3,1,149,655.0,5,True,False,Meetings
21,1810.0,0.0,6,2,5,True,500,25,1,2,118,5618.0,0,True,False,Comics & Graphic Novels
1,0.0,16.0,6,4,5,True,418,45,3,1,263,0.0,13,True,False,Mac
9,16.0,16.0,7,1,6,True,366,48,4,0,0,401.0,5,False,False,Analytics
1,114.0,7.0,10,6,6,True,483,57,1,1,0,34246.0,7,False,False,Hiring
1,6.0,0.0,6,5,6,True,349,54,4,1,299,0.0,6,False,False,Browser Extensions
3,40.0,22.0,6,5,6,True,434,35,3,4,0,0.0,5,True,False,Android
8,158.0,0.0,7,0,6,True,500,58,3,1,89,0.0,4,False,False,Design Tools
15,63.0,7.0,19,0,5,True,456,59,3,1,541,0.0,8,True,False,Design Tools
1,0.0,0.0,15,6,5,False,410,60,4,1,2649,1600.0,4,False,False,Streaming Services
19,0.0,56.0,5,3,5,True,437,58,3,1,557,0.0,4,False,False,Email Marketing
1,404.0,13.0,18,3,5,True,461,53,5,5,442,0.0,10,True,False,Email
1,17.0,22.0,7,5,6,False,264,60,2,6,209,0.0,7,False,False,Productivity
19,291.0,0.0,7,1,5,True,351,47,3,1,488,18358.0,9,False,False,No-Code
9,151.0,0.0,6,5,6,True,319,54,3,1,4799,1540.0,5,False,False,Kids
5,225.0,58.0,8,5,5,True,500,59,8,1,0,0.0,4,True,False,Android
8,42.0,25.0,7,0,6,True,184,58,2,3,51,2039.0,10,False,False,Productivity
1,184.0,0.0,7,2,1,True,48,60,1,2,474,0.0,11,True,False,Developer Tools
26,150.0,0.0,7,3,6,False,48,58,3,1,85,160669.0,7,False,False,Software Engineering
9,0.0,31.0,6,5,5,True,495,57,4,2,496,2081.0,6,False,False,Cars
5,92.0,35.0,7,3,5,True,500,59,3,4,698,1634.0,6,True,False,Artificial Intelligence
13,537.0,0.0,7,4,6,True,500,59,3,1,0,0.0,6,True,False,Chrome Extensions
6,95.0,13.0,7,3,5,True,433,26,3,1,1783,5669.0,7,False,False,Design Tools
3,11.0,9.0,7,3,5,False,406,60,4,6,0,274.0,6,False,False,Chrome Extensions
2,46.0,0.0,6,3,6,False,500,57,4,4,0,131808.0,2,True,False,API
30,44.0,0.0,7,5,5,True,500,58,3,1,1467,75144.0,7,False,False,Productivity
13,191.0,13.0,17,0,5,True,500,56,2,1,484,0.0,10,True,False,Artificial Intelligence
20,14.0,58.0,0,4,5,True,435,57,3,2,260,0.0,7,True,False,Open Source
32,55.0,1.0,7,1,5,True,444,46,4,1,0,28621.0,4,True,False,API
17,0.0,0.0,16,3,6,True,362,57,4,3,236,121685.0,7,False,False,Emoji
6,0.0,5.0,6,1,6,True,363,59,6,1,331,1877.0,6,True,False,Education
17,142.0,14.0,7,4,5,True,294,54,5,2,297,147865.0,6,True,False,SaaS
2,58.0,0.0,7,4,5,True,265,60,2,0,201,3151.0,5,False,False,Growth Hacking
7,0.0,12.0,8,4,6,True,322,49,3,1,0,0.0,7,False,False,Mac
16,0.0,3.0,19,2,6,False,436,56,3,1,0,0.0,2,True,False,Web App
1,26.0,3.0,0,3,9,True,139,40,3,1,706,1677.0,3,False,False,Productivity
4,0.0,1.0,12,0,5,True,379,55,4,4,781,536.0,27,False,False,Productivity
1,181.0,5.0,8,4,6,True,500,58,4,1,0,170171.0,5,False,False,Productivity
4,150.0,19.0,9,3,6,True,426,55,5,6,512,1356.0,2,True,False,Customer Communication
3,122.0,20.0,7,1,6,True,325,47,3,2,23,0.0,24,False,False,Software Engineering
2,12.0,3.0,7,4,5,True,220,54,1,0,399,381.0,6,False,False,Mac
1,72.0,9.0,7,2,6,True,246,37,3,1,659,0.0,4,False,False,Mac
5,74.0,107.0,20,2,5,True,470,40,2,6,476,3416.0,8,False,False,Productivity
9,545.0,0.0,23,2,5,False,390,49,3,0,0,79.0,8,False,False,Social Media
3,89.0,0.0,15,5,5,False,404,60,2,1,234,0.0,2,False,False,Open Source
1,0.0,24.0,7,2,5,True,500,44,3,0,302,2480.0,6,False,False,Design Tools
12,52.0,3.0,7,1,5,True,500,60,4,1,0,2352.0,11,True,False,Mac
14,60.0,26.0,15,3,6,True,467,50,3,1,389,2098.0,6,True,False,Open Source
8,99.0,27.0,17,0,7,True,350,60,1,1,0,4266.0,7,False,False,Email
15,29.0,0.0,7,5,6,True,125,49,2,1,0,3879.0,4,False,False,Open Source
1,29.0,18.0,6,5,6,True,198,45,3,1,769,0.0,7,False,False,Marketing
14,154.0,0.0,7,3,8,True,218,42,4,4,0,0.0,6,True,False,Comics & Graphic Novels
