votesCount,commentsCount,launch_hour,weekday,month,year,is_featured,description_length,tagline_length,topic_count,maker_count,maker_total_followers,hunter_followers_count,media_count,has_video,self_launched,primary_topic,hunter_prev_launches,hunter_prev_avg_votes,maker_prev_launches,maker_prev_avg_votes,is_synthetic
651.0,64.0,7,1,6,2026,True,38,38,3,2,102.0,909.0,7,True,False,Other,0,0.0,0,0.0,False
160.0,42.0,7,0,5,2026,False,74,58,3,1,20498.0,988.0,8,True,False,Other,0,0.0,3,207.0,True
1.0,1.0,7,3,3,2023,True,210,56,3,1,5.0,458.0,4,False,True,Other,0,0.0,0,1.2,True
7.0,3.0,7,3,7,2023,False,278,36,4,1,5.0,4295.0,1,False,True,Other,0,0.0,0,0.0,True
212.0,0.0,7,4,1,2023,True,392,50,2,1,5.0,1475.0,7,False,False,Other,0,0.0,0,218.5,True
20.0,0.0,15,0,3,2023,False,271,27,1,1,5.0,1690.0,2,True,True,Productivity,0,0.0,0,0.0,True
117.0,68.0,7,4,6,2026,True,72,14,3,1,748.0,3027.0,6,True,False,Other,0,0.0,0,188.7,True
23.0,0.0,8,3,1,2023,False,372,59,1,1,26075.0,2136.0,4,True,True,Android,0,0.0,0,0.0,True
129.0,264.0,7,1,7,2026,True,64,26,3,1,5.0,8473.0,4,False,False,Other,21,0.0,3544,1.8,True
277.0,99.0,7,3,5,2026,True,57,44,3,2,1823.0,912.0,9,False,False,API,0,0.0,7,0.0,True
105.0,3.0,7,4,7,2023,False,290,45,1,3,85581.0,1326.0,5,False,False,Other,0,0.0,0,226.8,True
1.0,2.0,8,4,3,2023,False,189,25,3,1,2013.0,324.0,3,False,False,Other,0,0.0,7,4.1,True
124.0,13.0,0,3,5,2026,True,297,58,3,1,3425.0,8594.0,4,True,False,Developer Tools,7,262.85714285714283,7,262.85714285714283,False
109.0,0.0,15,0,5,2023,False,65,60,3,1,1434.0,1295.0,4,False,False,Web App,0,0.0,1,0.0,True
93.0,3.0,7,1,7,2023,True,254,40,3,1,5.0,4878.0,6,False,False,Open Source,0,0.0,0,0.0,True
106.0,11.0,10,3,1,2023,True,236,49,2,1,340.0,2113.0,5,False,True,Other,0,0.0,0,0.0,False
6.0,5.0,0,5,5,2026,False,393,49,3,1,415.0,1547.0,6,True,False,Mac,0,0.0,0,0.0,False
75.0,47.0,7,4,7,2025,False,44,57,3,2,2171.0,8696.0,3,True,False,Other,2,0.0,0,399.2,True
16.0,3.0,14,3,1,2023,True,240,48,3,0,5.0,730.0,3,False,True,Marketing,0,0.0,19,0.0,True
106.0,4.0,7,5,7,2023,True,76,59,3,3,426.0,1558.0,6,True,False,Design Tools,0,0.0,9,2.0,True
139.0,0.0,7,3,5,2023,False,145,43,2,1,5946.0,198.0,6,False,False,Analytics,0,0.0,9,3.6,True
1.0,5.0,13,5,3,2023,False,237,43,3,1,2263.0,4490.0,4,False,True,Other,0,0.0,15,0.0,True
11.0,2.0,16,3,7,2023,False,258,53,2,1,5.0,4250.0,8,False,True,Android,0,0.0,1,183.8,True
3.0,1.0,13,6,5,2023,False,139,41,2,1,876.0,3836.0,1,False,True,Other,0,0.0,0,0.0,False
314.0,123.0,7,1,5,2023,True,29,47,3,2,3587.0,911.0,6,False,False,Chrome Extensions,34,0.0,26,0.0,True
154.0,0.0,7,2,10,2023,True,248,48,3,2,5.0,3255.0,5,True,True,Web App,0,0.1,0,0.1,True
120.0,79.0,7,4,1,2026,True,76,52,3,2,5.0,14866.0,6,False,False,Productivity,0,0.0,0,0.0,True
65.0,128.0,7,3,5,2023,True,301,55,3,3,172.0,759.0,6,False,False,Web App,0,0.0,0,0.0,True
2.0,1.0,20,3,7,2023,False,150,35,3,1,164.0,5843.0,3,False,True,Hiring,1,65.0,0,0.0,False
526.0,61.0,7,3,7,2023,True,40,28,2,1,5.0,2744.0,6,True,False,Hiring,0,0.2,542,5.4,True
10.0,2.0,7,1,7,2023,True,38,44,3,2,110006.0,1524.0,17,False,False,Design Tools,0,0.0,1124,0.0,True
499.0,69.0,7,3,7,2026,True,35,35,3,2,402.0,4961.0,4,False,False,API,0,0.0,0,0.0,False
17.0,0.0,7,3,7,2023,False,252,60,3,1,609.0,600.0,3,False,True,Productivity,0,0.0,208,0.0,True
3.0,1.0,14,3,7,2023,False,134,54,3,1,828.0,289.0,2,True,True,Open Source,0,0.0,0,0.0,False
11.0,0.0,6,1,7,2023,False,254,31,3,1,3570.0,333.0,2,False,True,Design Tools,0,0.0,0,227.4,True
150.0,27.0,7,5,7,2025,True,50,50,3,1,5.0,3819.0,6,True,False,Other,0,0.0,16,0.0,True
282.0,85.0,7,4,6,2026,True,64,39,3,3,2550.0,1165.0,6,True,False,Other,1,223.6,35,403.8,True
849.0,22.0,7,4,5,2026,True,71,26,3,1,3194.0,13467.0,9,True,False,Productivity,0,0.0,20,3.0,True
1.0,73.0,7,3,6,2026,True,56,33,3,1,233908.0,931.0,4,True,False,Design Tools,0,60.7,0,0.6,True
1.0,0.0,13,4,7,2023,False,235,30,1,1,187.0,84.0,8,False,True,iOS,0,0.9,0,0.0,True
824.0,2.0,7,4,5,2023,False,253,31,2,1,4531.0,1887.0,3,False,True,Productivity,0,0.9,0,0.0,True
10.0,2.0,7,0,5,2023,False,255,45,2,1,658.0,483.0,1,False,True,Other,0,0.0,0,0.0,True
150.0,36.0,7,4,7,2026,True,47,42,3,2,3762.0,634.0,9,False,False,SaaS,0,0.0,0,0.0,True
12.0,0.0,8,4,7,2025,True,270,41,1,1,5.0,2576.0,6,False,False,Other,0,0.0,0,0.0,True
133.0,19.0,7,3,5,2026,True,54,59,3,1,2703.0,531.0,3,True,False,Productivity,0,2.4,8,174.0,True
4.0,1.0,11,4,7,2023,False,228,23,3,2,101124.0,2186.0,2,True,False,Artificial Intelligence,0,0.0,661,202.29198184568835,False
199.0,16.0,12,1,6,2026,True,243,54,3,1,3402.0,484.0,5,True,False,Productivity,0,0.0,0,7.4,True
303.0,108.0,7,2,5,2026,True,73,45,3,1,5.0,1157.0,6,True,False,Productivity,0,0.0,0,438.4,True
84.0,0.0,23,4,5,2023,False,243,41,3,1,5.0,2481.0,2,False,False,Design Tools,0,0.0,1,0.0,True
20.0,0.0,15,6,7,2023,False,266,35,3,12,5.0,1051.0,4,False,True,Other,0,0.0,313,1.3,True
104.0,0.0,14,4,7,2023,True,254,26,2,2,3523.0,953.0,1,True,True,Mac,0,0.5,9,0.0,True
97.0,2.0,7,0,5,2023,True,261,56,1,1,5.0,622.0,3,False,True,Productivity,0,0.0,0,3.2,True
138.0,21.0,8,6,5,2023,True,162,23,2,1,1425.0,3631.0,2,False,True,Other,1,159.0,1,159.0,False
111.0,8.0,8,6,7,2023,True,173,37,3,1,5.0,2043.0,2,False,False,Android,0,0.0,7,0.0,True
4.0,0.0,22,3,5,2023,False,166,20,1,0,3544.0,405.0,4,True,True,Marketing,0,0.2,0,5.1,True
186.0,0.0,7,3,6,2026,False,500,60,3,1,1980.0,2059.0,9,True,False,Education,9,150.3,0,207.4,True
188.0,22.0,7,0,7,2026,False,46,56,3,1,1071.0,1751.0,4,True,False,Productivity,0,0.0,0,43.1,True
274.0,19.0,7,5,6,2026,False,71,60,3,2,259085.0,3288.0,6,True,False,API,0,0.0,22,202.8,True
206.0,39.0,7,0,7,2026,True,46,46,3,1,2246.0,4793.0,7,True,True,API,1,205.0,1,205.0,False
260.0,128.0,0,0,7,2023,True,215,29,3,1,45565.0,2687.0,10,False,False,Other,0,0.2,0,218.3,True
385.0,0.0,0,0,5,2026,True,70,42,3,1,241267.0,14819.0,6,True,False,API,1,86.2,26,461.2,True
233.0,49.0,7,5,7,2023,False,222,57,3,1,4297.0,599.0,7,False,False,Design Tools,2,0.6,1404,4.8,True
25.0,0.0,7,4,5,2023,True,242,54,3,1,16862.0,3856.0,4,True,True,API,0,0.0,12,1.5,True
93.0,8.0,7,0,7,2026,True,40,38,3,1,1021.0,2849.0,4,False,False,Other,0,0.0,0,0.0,True
189.0,48.0,7,1,7,2023,True,61,58,3,1,4088.0,2895.0,4,False,False,Other,0,0.0,7,0.0,True
25.0,10.0,14,0,12,2025,False,473,52,3,1,747.0,2487.0,6,True,False,Analytics,0,0.0,0,0.0,False
120.0,0.0,7,1,7,2026,True,31,57,3,1,5.0,4728.0,6,True,False,Productivity,9,2.1,5,2.3,True
12.0,0.0,7,0,5,2023,False,242,56,3,1,5.0,3548.0,2,False,True,Android,0,0.0,7,141.9,True
94.0,4.0,7,0,7,2023,False,242,58,3,1,1905.0,2083.0,3,False,False,Android,0,0.0,0,0.0,True
146.0,282.0,8,6,5,2023,True,252,41,4,2,66735.0,1266.0,18,True,False,Design Tools,0,0.0,434,185.03917050691248,False
529.0,0.0,7,1,7,2023,False,57,43,3,0,5.0,6777.0,3,True,False,Android,0,0.0,0,1.9,True
19.0,1.0,23,3,5,2023,False,261,56,2,1,5.0,1740.0,1,False,True,Other,0,0.0,1,2.3,True
288.0,103.0,7,2,5,2026,True,385,29,3,1,234559.0,1180.0,8,False,False,Other,0,237.3,16,2.7,True
145.0,15.0,7,5,5,2026,True,230,37,3,1,1452.0,4605.0,5,False,False,iOS,0,0.0,504,0.2,True
141.0,5.0,7,4,3,2026,True,58,56,3,3,1396.0,13237.0,7,True,False,Productivity,0,0.0,2,2.6,True
84.0,0.0,7,5,7,2023,True,48,36,2,1,5.0,2032.0,6,False,True,Other,0,0.0,0,0.0,True
102.0,3.0,7,4,5,2023,True,213,50,1,7,2136.0,11053.0,3,True,False,Developer Tools,0,0.5,0,0.0,True
153.0,10.0,1,0,6,2026,True,60,60,3,3,5.0,11496.0,8,False,False,Other,0,7.7,213,187.3,True
135.0,44.0,7,6,7,2026,True,68,17,3,1,4576.0,917.0,8,True,False,Other,3,0.0,2,0.0,True
19.0,1.0,7,0,5,2023,False,257,26,3,3,2425.0,2046.0,4,True,False,API,0,0.0,0,0.0,True
146.0,16.0,16,6,5,2026,False,65,38,3,3,5.0,3685.0,6,False,False,Open Source,0,0.0,0,0.0,True
564.0,19.0,0,6,5,2026,True,268,56,3,1,3342.0,8916.0,9,True,False,Design Tools,4,325.0,4,325.0,False
13.0,6.0,5,5,3,2023,False,61,42,3,1,5.0,2109.0,6,True,False,Marketing,0,0.0,341,2.3,True
12.0,2.0,16,3,7,2023,False,265,35,2,1,107.0,2594.0,1,False,True,Chrome Extensions,0,0.0,8,0.0,True
118.0,79.0,7,1,3,2023,True,235,49,3,1,180.0,1426.0,4,False,True,Productivity,0,0.0,0,0.0,False
1.0,3.0,10,1,5,2023,False,262,38,3,0,2441.0,3008.0,0,False,True,Other,0,0.0,4,235.5,True
235.0,54.0,0,2,7,2026,True,58,50,3,3,1801.0,127.0,7,True,False,Other,0,0.0,19,333.3,True
82.0,46.0,7,0,7,2023,True,17,44,3,3,5.0,2194.0,4,True,False,Design Tools,0,0.0,4,0.0,True
99.0,5.0,8,3,1,2023,True,216,47,2,3,24018.0,1110.0,4,False,False,Productivity,0,0.0,142,321.9154929577465,False
131.0,99.0,7,1,7,2026,True,50,60,3,3,630.0,4143.0,4,True,False,Productivity,0,0.0,6,407.6,True
506.0,130.0,0,6,6,2026,True,498,40,3,1,4368.0,15168.0,7,True,False,Email,13,264.9230769230769,13,264.9230769230769,False
157.0,175.0,1,4,7,2023,True,57,33,3,1,5.0,13997.0,5,True,False,Productivity,0,0.0,0,185.1,True
6.0,0.0,13,3,1,2023,False,230,59,3,2,14283.0,1163.0,6,False,False,Design Tools,0,0.0,74,313.1216216216216,False
153.0,198.0,7,0,5,2026,True,60,29,3,2,5.0,4268.0,6,False,False,Developer Tools,1,0.0,3,0.0,True
237.0,19.0,7,6,10,2026,False,40,52,3,3,428.0,8731.0,8,True,False,Developer Tools,0,305.8,5,254.7,True
142.0,5.0,9,3,4,2022,True,485,53,3,1,374.0,4461.0,4,True,False,Other,0,0.0,0,0.0,False
106.0,75.0,7,0,6,2026,True,487,46,3,1,5.0,9253.0,7,False,False,Productivity,0,0.0,1698,319.7,True
19.0,0.0,7,5,3,2023,True,252,40,3,1,162314.0,3378.0,2,True,True,Fintech,0,0.0,39,0.0,True
106.0,2.0,17,0,7,2023,True,264,36,5,1,5.0,1186.0,3,False,True,API,0,0.0,0,0.4,True
76.0,6.0,15,4,7,2023,True,251,35,4,1,23.0,657.0,3,False,True,Productivity,0,0.0,0,0.0,False
172.0,27.0,0,0,6,2026,True,338,46,3,1,1745.0,4996.0,5,True,False,Marketing,1,195.0,1,195.0,False
82.0,0.0,17,4,3,2023,True,224,58,1,1,30341.0,1371.0,1,False,False,Developer Tools,0,0.0,9,3.6,True
237.0,0.0,7,0,5,2026,True,161,59,3,6,355.0,8108.0,12,True,False,Other,0,0.0,849,2.1,True
168.0,35.0,11,1,7,2023,True,295,40,3,1,906.0,1095.0,3,False,False,Fintech,0,1.1,0,0.0,True
176.0,5.0,0,6,7,2026,False,486,35,3,1,4216.0,13765.0,6,True,False,Android,0,0.0,27,199.0,True
133.0,0.0,16,3,5,2023,False,241,47,2,1,2672.0,1014.0,8,False,False,Artificial Intelligence,0,0.0,746,0.0,True
13.0,74.0,7,4,7,2023,False,166,55,3,1,3661.0,1930.0,4,False,True,Email,0,0.8,0,0.0,True
53.0,8.0,7,3,7,2026,True,273,30,5,4,245133.0,4057.0,4,False,False,Mac,2,0.0,4,384.6,True
146.0,60.0,7,6,5,2026,True,49,28,3,2,5.0,1003.0,9,True,False,Developer Tools,0,0.0,0,0.0,True
484.0,18.0,7,3,4,2022,False,121,19,3,1,241.0,280.0,1,False,False,Productivity,0,0.0,0,0.0,False
181.0,1.0,7,3,7,2026,True,57,60,3,1,5.0,783.0,5,False,False,Productivity,0,0.0,1,1.8,True
208.0,50.0,0,0,5,2026,True,33,58,3,2,5.0,1090.0,9,True,False,Other,0,299.5,11,0.0,True
721.0,117.0,7,3,4,2022,True,255,51,3,1,840.0,71.0,5,False,False,Other,0,0.0,0,0.0,False
102.0,4.0,7,3,5,2026,False,418,40,3,1,2098.0,1269.0,7,True,True,Other,0,0.0,412,203.0,True
715.0,27.0,1,4,6,2026,True,81,50,3,3,2149.0,24259.0,6,True,False,Productivity,2,0.6,4,1.4,True
3.0,1.0,21,5,5,2023,False,259,43,3,1,1842.0,3146.0,1,False,True,Artificial Intelligence,0,0.0,0,0.0,False
1373.0,61.0,7,4,7,2026,False,45,57,3,1,1450.0,5601.0,5,True,False,Productivity,0,248.7,10,323.3,True
2.0,0.0,10,3,1,2023,False,229,45,1,1,369.0,792.0,1,False,True,SaaS,0,0.0,0,0.0,False
75.0,0.0,7,5,7,2026,True,52,36,3,1,5.0,1740.0,6,True,False,Artificial Intelligence,0,0.0,22,2.3,True
1.0,0.0,15,3,7,2023,True,268,59,3,1,5535.0,1410.0,7,False,True,Other,0,0.0,0,4.1,True
101.0,0.0,12,4,7,2024,True,375,42,3,1,5.0,4679.0,3,False,False,Open Source,0,3.8,10,4.3,True
92.0,0.0,7,5,3,2023,False,243,57,2,1,75610.0,252.0,3,True,False,Analytics,0,0.0,0,0.0,True
93.0,11.0,7,4,7,2023,True,223,53,1,1,149.0,1338.0,9,True,True,Productivity,0,0.0,0,0.0,False
1.0,1.0,23,3,3,2023,False,238,35,2,1,5.0,818.0,3,True,True,Other,0,0.0,3,0.0,True
13.0,2.0,8,4,3,2023,True,281,30,3,3,5103.0,590.0,3,False,True,Marketing,0,0.0,337,2.7,True
129.0,0.0,7,3,5,2023,False,262,43,3,1,5.0,867.0,3,False,True,Design Tools,0,0.0,11,217.6,True
77.0,24.0,7,0,3,2023,True,253,33,3,2,30832.0,737.0,6,False,False,Other,0,0.0,192,223.15625,False
2.0,0.0,22,5,1,2023,False,168,58,3,1,267.0,1942.0,7,False,True,Other,0,0.0,0,0.0,False
149.0,4.0,7,5,1,2023,False,58,29,1,1,4239.0,1804.0,6,False,True,Web App,0,0.0,8,0.0,True
3.0,2.0,15,1,3,2023,False,231,27,3,1,3036.0,4727.0,1,False,True,Developer Tools,0,0.0,0,1.3,True
11.0,2.0,7,4,5,2023,False,279,34,3,0,815.0,2397.0,4,False,True,Mac,0,0.0,16,3.3,True
87.0,0.0,7,5,7,2023,True,233,30,3,1,5.0,4282.0,7,True,True,Analytics,0,0.0,0,0.0,True
133.0,40.0,7,3,5,2023,True,66,38,2,1,5.0,693.0,5,True,False,Other,0,0.0,0,2.3,True
99.0,59.0,1,2,6,2026,True,60,23,3,2,6894.0,7432.0,6,True,False,Other,2,335.3,2444,1.6,True
150.0,27.0,7,3,7,2026,True,55,51,3,3,112.0,725.0,7,True,False,API,0,0.0,0,6.4,True
70.0,22.0,7,6,5,2026,True,73,53,2,1,452.0,676.0,6,False,False,Marketing,0,0.0,0,2.1,True
13.0,0.0,7,3,4,2023,False,215,42,2,1,96626.0,718.0,4,True,True,Other,0,0.0,0,0.8,True
26.0,0.0,13,5,3,2023,True,263,51,3,1,44178.0,2695.0,4,False,True,Other,0,0.0,0,0.0,True
6.0,1.0,10,4,5,2023,False,229,58,3,1,119.0,352.0,3,False,True,Productivity,0,0.0,0,0.0,False
11.0,1.0,7,3,5,2023,False,251,60,1,7,4776.0,1307.0,1,False,True,Mac,0,0.0,0,0.0,True
124.0,0.0,16,4,3,2023,False,188,38,1,3,682.0,732.0,6,False,True,Productivity,0,0.0,21,0.0,True
4.0,1.0,10,5,5,2023,False,245,60,3,1,97.0,796.0,3,False,True,Productivity,0,0.0,0,0.0,False
190.0,0.0,7,4,5,2026,True,186,54,3,1,1661.0,3690.0,8,True,False,Productivity,0,0.0,0,0.0,True
129.0,42.0,7,0,1,2023,False,271,48,3,0,1014.0,1946.0,4,True,True,Productivity,0,0.0,0,0.0,True
139.0,0.0,7,3,7,2023,False,209,38,2,1,5.0,5398.0,10,True,False,Fintech,0,0.0,14,0.0,True
386.0,4.0,1,2,5,2026,True,53,37,3,1,1364.0,343.0,6,True,False,Other,0,0.0,0,0.0,True
23.0,0.0,1,0,7,2023,True,247,59,2,3,2453.0,634.0,15,False,False,Android,0,0.0,18,0.0,True
106.0,16.0,7,2,7,2026,True,58,55,3,1,94304.0,557.0,6,False,False,Social Media,0,1.4,28,1.5,True
357.0,77.0,11,1,5,2026,True,292,57,3,1,379.0,2396.0,8,True,False,Productivity,0,0.0,0,0.0,False
127.0,61.0,7,4,6,2026,False,52,56,3,3,69848.0,736.0,4,True,False,Open Source,0,0.0,27,1.9,True
66.0,6.0,19,3,7,2023,True,259,22,3,0,20.0,3930.0,5,True,False,Design Tools,5,14.8,0,0.0,False
108.0,5.0,8,5,1,2023,False,218,30,4,7,5.0,2429.0,3,False,True,Other,0,0.0,1308,213.0,True
9.0,1.0,9,3,3,2023,True,249,34,2,1,2864.0,745.0,3,False,True,Other,0,0.0,0,4.7,True
195.0,24.0,0,5,5,2026,False,64,25,3,3,507.0,1479.0,4,True,False,Artificial Intelligence,0,2.5,0,0.0,True
7.0,1.0,8,5,1,2023,False,232,52,3,1,424.0,153.0,2,False,True,Other,0,0.0,0,0.0,False
1.0,0.0,14,5,3,2023,False,192,31,1,1,5.0,2841.0,5,False,True,Other,0,0.0,3,0.1,True
103.0,13.0,7,4,5,2023,True,214,57,3,1,5.0,3717.0,6,True,False,Other,0,0.0,0,0.0,True
375.0,117.0,7,1,3,2023,True,247,52,3,2,42980.0,495.0,7,True,False,Productivity,0,0.0,272,208.91176470588235,False
1.0,0.0,14,4,3,2023,False,187,35,1,0,5.0,807.0,3,False,True,Other,0,0.0,274,2.7,True
2.0,0.0,7,1,3,2023,False,245,15,1,0,136.0,6546.0,1,False,False,Education,0,0.0,0,0.0,False
11.0,0.0,7,5,7,2023,False,259,58,2,1,5.0,2592.0,5,True,True,Writing,0,0.0,314,1.0,True
67.0,6.0,1,0,3,2023,True,244,48,3,1,16.0,123.0,4,False,True,Other,0,0.0,0,0.0,False
241.0,17.0,0,4,5,2024,True,43,34,3,1,3949.0,4430.0,6,True,False,Other,0,0.0,18,0.6,True
192.0,0.0,7,3,5,2023,False,135,29,4,1,5.0,612.0,7,False,True,Marketing,0,0.0,15,4.5,True
14.0,45.0,7,4,7,2023,False,59,31,1,1,320.0,794.0,4,False,True,Developer Tools,0,0.0,1306,2.4,True
5.0,0.0,15,4,7,2023,True,254,49,4,1,5.0,1924.0,6,False,False,Chrome Extensions,0,1.8,0,0.0,True
106.0,0.0,11,4,5,2023,True,259,45,1,8,5.0,6153.0,6,False,True,Other,0,0.0,10,0.0,True
1.0,0.0,7,3,3,2023,False,118,40,4,4,5.0,865.0,1,True,True,Other,0,0.0,4,1.8,True
140.0,68.0,7,3,7,2025,True,53,58,3,1,5.0,3004.0,6,True,False,Developer Tools,0,0.1,0,2.0,True
166.0,34.0,7,2,6,2026,True,54,48,3,1,996.0,2592.0,6,False,False,Other,0,0.0,26,0.0,True
175.0,22.0,0,2,7,2026,True,500,59,3,1,5.0,11104.0,8,True,False,Other,0,222.1,9,261.2,True
176.0,76.0,7,4,7,2026,True,52,43,3,1,824.0,1136.0,6,False,False,Other,0,0.0,0,0.0,True
7.0,0.0,12,4,3,2023,False,255,58,3,1,5.0,1377.0,2,False,True,Productivity,0,1.2,0,4.8,True
183.0,48.0,7,0,5,2026,True,39,48,3,1,43690.0,2886.0,7,False,False,Hiring,0,0.0,25,290.0,True
52.0,0.0,7,3,5,2023,False,196,52,1,1,5.0,1437.0,5,True,False,Other,0,0.0,0,1.1,True
119.0,5.0,0,0,5,2026,True,296,53,3,1,2055.0,50.0,14,True,False,Other,0,0.0,0,0.0,False
71.0,1.0,7,1,7,2023,False,251,58,3,1,977.0,4488.0,4,False,False,iOS,0,0.3,0,0.0,True
