votesCount,commentsCount,launch_hour,weekday,month,year,is_featured,description_length,tagline_length,topic_count,maker_count,maker_total_followers,hunter_followers_count,media_count,has_video,self_launched,primary_topic,hunter_prev_launches,hunter_prev_avg_votes,maker_prev_launches,maker_prev_avg_votes,is_synthetic,SUCCESS,total_social_reach,log_social_reach,log_maker_followers,log_hunter_followers,log_description_length,log_tagline_length,log_media_count,sin_hour,cos_hour,is_weekend,launch_window,has_video_int,media_x_video,self_launched_int,log_hunter_prev_launches,log_hunter_prev_avg_votes,log_maker_prev_launches,log_maker_prev_avg_votes,primary_topic_grouped
138.0,7.0,22,0,5,2023,False,196,21,2,1,168052.0,855.0,2,False,True,Fintech,0,0.0,0,1.7,True,1,168907.0,12.037109466979105,12.032034684823723,6.752270376141742,5.2832037287379885,3.091042453358316,1.0986122886681098,-0.5000000000000004,0.8660254037844384,0,evening,0,0,1,0.0,0.0,0.0,0.9932517730102833,Other
11.0,6.0,8,4,5,2023,False,236,43,2,1,5.0,2772.0,3,False,True,Design Tools,0,0.0,279,2.4,True,0,2777.0,7.9294865233142895,1.791759469228055,7.927685045615778,5.4680601411351315,3.784189633918261,1.3862943611198906,0.8660254037844387,-0.49999999999999983,0,morning,0,0,1,0.0,0.0,5.634789603169249,1.2237754316221157,Design Tools
3.0,1.0,7,4,5,2023,False,241,56,2,1,1184.0,1018.0,2,False,True,Other,0,0.0,0,0.0,False,0,2202.0,7.697575346802343,7.077498053569231,6.926577033222725,5.488937726156687,4.04305126783455,1.0986122886681098,0.9659258262890683,-0.25881904510252063,0,morning,0,0,1,0.0,0.0,0.0,0.0,Other
1.0,3.0,7,0,7,2023,True,31,37,3,1,945.0,1997.0,2,False,False,Productivity,0,0.0,7,3.7,True,0,2942.0,7.987184748233473,6.852242569051878,7.599901959208498,3.4657359027997265,3.6375861597263857,1.0986122886681098,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.0,2.0794415416798357,1.547562508716013,Productivity
158.0,11.0,7,0,7,2026,True,169,38,3,2,5.0,1185.0,4,False,False,Productivity,0,0.0,0,0.2,True,1,1190.0,7.0825485693553,1.791759469228055,7.078341579557671,5.135798437050262,3.6635616461296463,1.6094379124341003,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.0,0.0,0.18232155679395465,Productivity
124.0,158.0,7,5,7,2023,True,31,50,3,1,160824.0,4874.0,3,False,False,Marketing,0,53.3,0,0.0,True,1,165698.0,12.017928168393427,11.9880720962792,8.491875383431948,3.4657359027997265,3.9318256327243257,1.3862943611198906,0.9659258262890683,-0.25881904510252063,1,morning,0,0,0,0.0,3.9945242269398897,0.0,0.0,Marketing
26.0,5.0,23,6,7,2023,False,250,32,1,1,5.0,5549.0,4,False,True,Design Tools,0,0.0,2153,1.8,True,0,5554.0,8.62245370207373,1.791759469228055,8.62155320674048,5.5254529391317835,3.4965075614664802,1.6094379124341003,-0.25881904510252157,0.9659258262890681,1,evening,0,0,1,0.0,0.0,7.675081857716334,1.0296194171811583,Design Tools
519.0,7.0,7,4,5,2023,True,250,26,3,1,258.0,2103.0,6,False,False,Marketing,0,0.0,0,1.6,True,1,2361.0,7.767263996757308,5.556828061699537,7.651595573857601,5.5254529391317835,3.295836866004329,1.9459101490553132,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.0,0.0,0.9555114450274363,Marketing
214.0,127.0,7,6,7,2026,True,50,49,3,1,5.0,2203.0,8,True,False,Other,0,0.0,9,2.4,True,1,2208.0,7.700295203420117,1.791759469228055,7.698029170272805,3.9318256327243257,3.912023005428146,2.1972245773362196,0.9659258262890683,-0.25881904510252063,1,morning,1,8,0,0.0,0.0,2.302585092994046,1.2237754316221157,Other
1.0,0.0,11,1,3,2023,False,271,33,2,0,5.0,64.0,1,False,True,Education,0,0.0,9,3.5,True,0,69.0,4.248495242049359,1.791759469228055,4.174387269895637,5.605802066295998,3.5263605246161616,0.6931471805599453,0.258819045102521,-0.9659258262890682,0,morning,0,0,1,0.0,0.0,2.302585092994046,1.5040773967762742,Education
10.0,0.0,7,0,7,2023,True,250,32,1,20,5.0,1754.0,6,False,False,Analytics,0,0.0,1,0.0,True,0,1759.0,7.473069088032197,1.791759469228055,7.470224135899966,5.5254529391317835,3.4965075614664802,1.9459101490553132,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.0,0.6931471805599453,0.0,Other
393.0,2.0,7,0,7,2023,False,59,58,3,4,53.0,1680.0,6,False,False,Productivity,0,0.0,0,2.3,True,1,1733.0,7.458186157340487,3.9889840465642745,7.427144133408616,4.0943445622221,4.07753744390572,1.9459101490553132,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.0,0.0,1.1939224684724346,Productivity
28.0,33.0,7,6,7,2026,False,58,58,3,1,791.0,726.0,8,True,False,Other,0,0.0,0,0.0,False,0,1517.0,7.325148957955575,6.674561391814426,6.588926477533519,4.07753744390572,4.07753744390572,2.1972245773362196,0.9659258262890683,-0.25881904510252063,1,morning,1,8,0,0.0,0.0,0.0,0.0,Other
187.0,9.0,7,2,7,2026,True,50,25,3,3,5.0,12194.0,6,True,False,Other,0,0.0,10,55.9,True,1,12199.0,9.409191230721348,1.791759469228055,9.40878131065002,3.9318256327243257,3.258096538021482,1.9459101490553132,0.9659258262890683,-0.25881904510252063,0,morning,1,6,0,0.0,0.0,2.3978952727983707,4.041295341132285,Other
1.0,1.0,5,5,5,2023,True,166,29,3,1,5.0,1990.0,3,False,True,Productivity,0,0.0,11,3.0,True,0,1995.0,7.59890045687141,1.791759469228055,7.596392304064196,5.117993812416755,3.4011973816621555,1.3862943611198906,0.9659258262890683,0.25881904510252074,1,late_night,0,0,1,0.0,0.0,2.4849066497880004,1.3862943611198906,Productivity
163.0,0.0,12,0,7,2023,False,33,38,3,1,5.0,1976.0,4,False,True,Fintech,0,0.0,0,0.1,True,1,1981.0,7.591861714889934,1.791759469228055,7.589335823170617,3.5263605246161616,3.6635616461296463,1.6094379124341003,1.2246467991473532e-16,-1.0,0,afternoon,0,0,1,0.0,0.0,0.0,0.09531017980432487,Other
4.0,0.0,6,0,3,2023,False,220,26,2,1,113.0,1881.0,2,True,False,Other,0,0.0,0,0.0,False,0,1994.0,7.598399329323964,4.736198448394496,7.540090320145325,5.3981627015177525,3.295836866004329,1.0986122886681098,1.0,6.123233995736766e-17,0,morning,1,2,0,0.0,0.0,0.0,0.0,Other
185.0,7.0,7,6,7,2023,True,46,59,3,3,5.0,806.0,6,False,False,Other,0,2.2,0,5.8,True,1,811.0,6.699500340161678,1.791759469228055,6.693323668269949,3.8501476017100584,4.0943445622221,1.9459101490553132,0.9659258262890683,-0.25881904510252063,1,morning,0,0,0,0.0,1.1631508098056809,0.0,1.916922612182061,Other
11.0,0.0,7,3,5,2026,False,234,32,3,1,2940.0,2527.0,4,True,False,Android,0,0.7,0,0.0,True,0,5467.0,8.60666819784384,7.9865049385539955,7.8351837552667485,5.459585514144159,3.4965075614664802,1.6094379124341003,0.9659258262890683,-0.25881904510252063,0,morning,1,4,0,0.0,0.5306282510621704,0.0,0.0,Android
169.0,15.0,7,4,5,2026,True,85,52,3,1,2997.0,336.0,4,False,False,Artificial Intelligence,0,0.4,0,153.7,True,1,3333.0,8.111928063310739,8.005700678662542,5.820082930352362,4.454347296253507,3.970291913552122,1.6094379124341003,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.33647223662121295,0.0,5.04148775757902,Artificial Intelligence
92.0,0.0,5,0,5,2023,True,246,37,3,1,5.0,856.0,4,False,False,Other,0,0.0,21,1.0,True,0,861.0,6.759255270663693,1.791759469228055,6.75343791859778,5.5093883366279774,3.6375861597263857,1.6094379124341003,0.9659258262890683,0.25881904510252074,0,late_night,0,0,0,0.0,0.0,3.091042453358316,0.6931471805599453,Other
186.0,72.0,7,0,9,2026,True,166,57,3,3,59677.0,851.0,4,True,False,Chrome Extensions,0,0.0,3,247.1,True,1,60528.0,11.010877868015744,10.996718722251758,6.747586526829315,5.117993812416755,4.060443010546419,1.6094379124341003,0.9659258262890683,-0.25881904510252063,0,morning,1,4,0,0.0,0.0,1.3862943611198906,5.513831890697755,Chrome Extensions
124.0,0.0,21,5,7,2024,True,57,35,3,1,57980.0,3809.0,3,False,False,Design Tools,0,0.0,8,1.7,True,1,61789.0,11.031496818055025,10.967870649653577,8.245384468120747,4.060443010546419,3.58351893845611,1.3862943611198906,-0.7071067811865477,0.7071067811865474,1,evening,0,0,0,0.0,0.0,2.1972245773362196,0.9932517730102833,Design Tools
1.0,1.0,5,5,1,2023,False,271,17,2,1,177.0,729.0,1,False,True,Health & Fitness,0,0.0,0,0.0,False,0,906.0,6.810142450115136,5.181783550292085,6.593044534142437,5.605802066295998,2.8903717578961645,0.6931471805599453,0.9659258262890683,0.25881904510252074,1,late_night,0,0,1,0.0,0.0,0.0,0.0,Health & Fitness
32.0,67.0,12,3,7,2023,True,422,50,3,2,5.0,2426.0,6,False,False,Mac,0,0.0,2,221.0,True,0,2431.0,7.796469243086058,1.791759469228055,7.794411205726601,6.0473721790462776,3.9318256327243257,1.9459101490553132,1.2246467991473532e-16,-1.0,0,afternoon,0,0,0,0.0,0.0,1.0986122886681098,5.402677381872279,Mac
11.0,12.0,7,4,7,2023,False,39,57,3,1,5.0,5277.0,8,False,True,Other,0,0.0,21,0.4,True,0,5282.0,8.572249397164315,1.791759469228055,8.57130251706327,3.6888794541139363,4.060443010546419,2.1972245773362196,0.9659258262890683,-0.25881904510252063,0,morning,0,0,1,0.0,0.0,3.091042453358316,0.33647223662121295,Other
111.0,7.0,7,1,6,2026,True,45,45,3,1,3312.0,5519.0,9,False,False,Marketing,0,64.0,6,0.0,True,1,8831.0,9.086136768516877,8.105609402299896,8.616133139271142,3.828641396489095,3.828641396489095,2.302585092994046,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,4.174387269895637,1.9459101490553132,0.0,Marketing
366.0,40.0,8,4,6,2022,True,103,29,3,1,168.0,2478.0,1,False,False,Other,0,0.0,0,0.0,False,1,2646.0,7.881182202227102,5.1298987149230735,7.8156105320351905,4.6443908991413725,3.4011973816621555,0.6931471805599453,0.8660254037844387,-0.49999999999999983,0,morning,0,0,0,0.0,0.0,0.0,0.0,Other
27.0,0.0,7,4,7,2024,False,149,57,3,1,141184.0,1735.0,3,True,True,Health & Fitness,0,0.0,17,4.3,True,0,142919.0,11.870040312137347,11.85782636610361,7.459338895220296,5.0106352940962555,4.060443010546419,1.3862943611198906,0.9659258262890683,-0.25881904510252063,0,morning,1,3,1,0.0,0.0,2.8903717578961645,1.667706820558076,Health & Fitness
416.0,29.0,0,6,6,2026,True,172,32,3,1,385.0,28.0,5,True,False,Design Tools,0,0.0,0,0.0,False,1,413.0,6.025865973825314,5.955837369464831,3.367295829986474,5.153291594497779,3.4965075614664802,1.791759469228055,0.0,1.0,1,late_night,1,5,0,0.0,0.0,0.0,0.0,Design Tools
246.0,359.0,7,0,7,2026,True,24,60,3,2,5.0,5668.0,6,False,False,Marketing,0,0.0,0,169.9,True,1,5673.0,8.643649615368796,1.791759469228055,8.642768014324304,3.2188758248682006,4.110873864173311,1.9459101490553132,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.0,0.0,5.141078590121546,Marketing
304.0,8.0,18,5,9,2022,True,86,59,3,1,259.0,870.0,7,True,False,Other,0,0.0,0,0.0,False,1,1129.0,7.029972911706386,5.560681631015528,6.769641976852503,4.465908118654584,4.0943445622221,2.0794415416798357,-1.0,-1.8369701987210297e-16,1,evening,1,7,0,0.0,0.0,0.0,0.0,Other
17.0,0.0,21,4,3,2023,False,167,58,3,3,1308.0,336.0,3,True,False,Artificial Intelligence,0,0.6,2,3.0,True,0,1644.0,7.405495663199472,7.1770187659099,5.820082930352362,5.123963979403259,4.07753744390572,1.3862943611198906,-0.7071067811865477,0.7071067811865474,0,evening,1,3,0,0.0,0.4700036292457355,1.0986122886681098,1.3862943611198906,Artificial Intelligence
431.0,101.0,0,0,5,2023,False,55,40,3,1,5.0,8711.0,6,True,False,Design Tools,0,0.9,6,2.9,True,1,8716.0,9.073030421011577,1.791759469228055,9.072456664612796,4.02535169073515,3.713572066704308,1.9459101490553132,0.0,1.0,0,late_night,1,6,0,0.0,0.6418538861723948,1.9459101490553132,1.3609765531356006,Design Tools
651.0,64.0,7,1,6,2026,True,38,38,3,2,102.0,909.0,7,True,False,Other,0,0.0,0,0.0,False,1,1011.0,6.919683849847411,4.634728988229636,6.813444599510896,3.6635616461296463,3.6635616461296463,2.0794415416798357,0.9659258262890683,-0.25881904510252063,0,morning,1,7,0,0.0,0.0,0.0,0.0,Other
160.0,42.0,7,0,5,2026,False,74,58,3,1,20498.0,988.0,8,True,False,Other,0,0.0,3,207.0,True,1,21486.0,9.975203380077728,9.928131383448887,6.8966943316227125,4.31748811353631,4.07753744390572,2.1972245773362196,0.9659258262890683,-0.25881904510252063,0,morning,1,8,0,0.0,0.0,1.3862943611198906,5.337538079701318,Other
1.0,1.0,7,3,3,2023,True,210,56,3,1,5.0,458.0,4,False,True,Other,0,0.0,0,1.2,True,0,463.0,6.139884552226255,1.791759469228055,6.129050210060545,5.351858133476067,4.04305126783455,1.6094379124341003,0.9659258262890683,-0.25881904510252063,0,morning,0,0,1,0.0,0.0,0.0,0.7884573603642702,Other
7.0,3.0,7,3,7,2023,False,278,36,4,1,5.0,4295.0,1,False,True,Other,0,0.0,0,0.0,True,0,4300.0,8.366602832783736,1.791759469228055,8.3654396361887,5.631211781821365,3.6109179126442243,0.6931471805599453,0.9659258262890683,-0.25881904510252063,0,morning,0,0,1,0.0,0.0,0.0,0.0,Other
212.0,0.0,7,4,1,2023,True,392,50,2,1,5.0,1475.0,7,False,False,Other,0,0.0,0,218.5,True,1,1480.0,7.300472814267799,1.791759469228055,7.297091005160418,5.973809611869261,3.9318256327243257,2.0794415416798357,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.0,0.0,5.391352232515226,Other
20.0,0.0,15,0,3,2023,False,271,27,1,1,5.0,1690.0,2,True,True,Productivity,0,0.0,0,0.0,True,0,1695.0,7.4360278163518485,1.791759469228055,7.43307534889858,5.605802066295998,3.332204510175204,1.0986122886681098,-0.7071067811865471,-0.7071067811865479,0,afternoon,1,2,1,0.0,0.0,0.0,0.0,Productivity
117.0,68.0,7,4,6,2026,True,72,14,3,1,748.0,3027.0,6,True,False,Other,0,0.0,0,188.7,True,1,3775.0,8.236420527265391,6.618738983517219,8.01565761455734,4.290459441148391,2.70805020110221,1.9459101490553132,0.9659258262890683,-0.25881904510252063,0,morning,1,6,0,0.0,0.0,0.0,5.245443876940969,Other
23.0,0.0,8,3,1,2023,False,372,59,1,1,26075.0,2136.0,4,True,True,Android,0,0.0,0,0.0,True,0,28211.0,10.24750269832807,10.16877063004443,7.667158255319148,5.921578419643816,4.0943445622221,1.6094379124341003,0.8660254037844387,-0.49999999999999983,0,morning,1,4,1,0.0,0.0,0.0,0.0,Android
129.0,264.0,7,1,7,2026,True,64,26,3,1,5.0,8473.0,4,False,False,Other,21,0.0,3544,1.8,True,1,8478.0,9.045347797304004,1.791759469228055,9.044757931186505,4.174387269895637,3.295836866004329,1.6094379124341003,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,3.091042453358316,0.0,8.173293438966228,1.0296194171811583,Other
277.0,99.0,7,3,5,2026,True,57,44,3,2,1823.0,912.0,9,False,False,API,0,0.0,7,0.0,True,1,2735.0,7.914252278742441,7.508787170634276,6.816735880594968,4.060443010546419,3.8066624897703196,2.302585092994046,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.0,2.0794415416798357,0.0,API
105.0,3.0,7,4,7,2023,False,290,45,1,3,85581.0,1326.0,5,False,False,Other,0,0.0,0,226.8,True,0,86907.0,11.372605366855131,11.357230259643984,7.190676034332207,5.673323267171493,3.828641396489095,1.791759469228055,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.0,0.0,5.428468051013081,Other
1.0,2.0,8,4,3,2023,False,189,25,3,1,2013.0,324.0,3,False,False,Other,0,0.0,7,4.1,True,0,2337.0,7.757051142032013,7.607878073278507,5.783825182329737,5.247024072160486,3.258096538021482,1.3862943611198906,0.8660254037844387,-0.49999999999999983,0,morning,0,0,0,0.0,0.0,2.0794415416798357,1.62924053973028,Other
124.0,13.0,0,3,5,2026,True,297,58,3,1,3425.0,8594.0,4,True,False,Developer Tools,7,262.85714285714283,7,262.85714285714283,False,1,12019.0,9.394327208089198,8.139148678884066,9.05893591781695,5.697093486505405,4.07753744390572,1.6094379124341003,0.0,1.0,0,late_night,1,4,0,2.0794415416798357,5.575407831143926,2.0794415416798357,5.575407831143926,Developer Tools
109.0,0.0,15,0,5,2023,False,65,60,3,1,1434.0,1295.0,4,False,False,Web App,0,0.0,1,0.0,True,1,2729.0,7.912056888179006,7.268920128193722,7.16703787691222,4.189654742026425,4.110873864173311,1.6094379124341003,-0.7071067811865471,-0.7071067811865479,0,afternoon,0,0,0,0.0,0.0,0.6931471805599453,0.0,Web App
93.0,3.0,7,1,7,2023,True,254,40,3,1,5.0,4878.0,6,False,False,Open Source,0,0.0,0,0.0,True,0,4883.0,8.493719835230594,1.791759469228055,8.492695559815838,5.541263545158426,3.713572066704308,1.9459101490553132,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.0,0.0,0.0,Open Source
106.0,11.0,10,3,1,2023,True,236,49,2,1,340.0,2113.0,5,False,True,Other,0,0.0,0,0.0,False,0,2453.0,7.805474625270857,5.831882477283517,7.656337166430183,5.4680601411351315,3.912023005428146,1.791759469228055,0.49999999999999994,-0.8660254037844387,0,morning,0,0,1,0.0,0.0,0.0,0.0,Other
6.0,5.0,0,5,5,2026,False,393,49,3,1,415.0,1547.0,6,True,False,Mac,0,0.0,0,0.0,False,0,1962.0,7.5822291942764615,6.030685260261263,7.344719054149673,5.976350909297934,3.912023005428146,1.9459101490553132,0.0,1.0,1,late_night,1,6,0,0.0,0.0,0.0,0.0,Mac
75.0,47.0,7,4,7,2025,False,44,57,3,2,2171.0,8696.0,3,True,False,Other,2,0.0,0,399.2,True,0,10867.0,9.293577970546238,7.683403681053826,9.070733417589766,3.8066624897703196,4.060443010546419,1.3862943611198906,0.9659258262890683,-0.25881904510252063,0,morning,1,3,0,1.0986122886681098,0.0,0.0,5.991964422149633,Other
16.0,3.0,14,3,1,2023,True,240,48,3,0,5.0,730.0,3,False,True,Marketing,0,0.0,19,0.0,True,0,735.0,6.601230118728877,1.791759469228055,6.594413459749778,5.484796933490655,3.8918202981106265,1.3862943611198906,-0.4999999999999998,-0.8660254037844388,0,afternoon,0,0,1,0.0,0.0,2.995732273553991,0.0,Marketing
106.0,4.0,7,5,7,2023,True,76,59,3,3,426.0,1558.0,6,True,False,Design Tools,0,0.0,9,2.0,True,0,1984.0,7.59337419312129,6.056784013228625,7.351799869057777,4.343805421853684,4.0943445622221,1.9459101490553132,0.9659258262890683,-0.25881904510252063,1,morning,1,6,0,0.0,0.0,2.302585092994046,1.0986122886681098,Design Tools
139.0,0.0,7,3,5,2023,False,145,43,2,1,5946.0,198.0,6,False,False,Analytics,0,0.0,9,3.6,True,1,6144.0,8.723394022000136,8.690642169706594,5.293304824724492,4.983606621708336,3.784189633918261,1.9459101490553132,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.0,2.302585092994046,1.5260563034950494,Other
1.0,5.0,13,5,3,2023,False,237,43,3,1,2263.0,4490.0,4,False,True,Other,0,0.0,15,0.0,True,0,6753.0,8.817890200945513,7.724888439323074,8.409830673087738,5.472270673671475,3.784189633918261,1.6094379124341003,-0.2588190451025208,-0.9659258262890683,1,afternoon,0,0,1,0.0,0.0,2.772588722239781,0.0,Other
11.0,2.0,16,3,7,2023,False,258,53,2,1,5.0,4250.0,8,False,True,Android,0,0.0,1,183.8,True,0,4255.0,8.35608503102148,1.791759469228055,8.35490952835879,5.556828061699537,3.9889840465642745,2.1972245773362196,-0.8660254037844384,-0.5000000000000004,0,afternoon,0,0,1,0.0,0.0,0.6931471805599453,5.2192741592075835,Android
3.0,1.0,13,6,5,2023,False,139,41,2,1,876.0,3836.0,1,False,True,Other,0,0.0,0,0.0,False,0,4712.0,8.45807992692373,6.776506992372183,8.252446090246952,4.941642422609304,3.7376696182833684,0.6931471805599453,-0.2588190451025208,-0.9659258262890683,1,afternoon,0,0,1,0.0,0.0,0.0,0.0,Other
314.0,123.0,7,1,5,2023,True,29,47,3,2,3587.0,911.0,6,False,False,Chrome Extensions,34,0.0,26,0.0,True,1,4498.0,8.411610428841172,8.185350223178686,6.815639990074331,3.4011973816621555,3.871201010907891,1.9459101490553132,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,3.5553480614894135,0.0,3.295836866004329,0.0,Chrome Extensions
154.0,0.0,7,2,10,2023,True,248,48,3,2,5.0,3255.0,5,True,True,Web App,0,0.1,0,0.1,True,1,3260.0,8.089789175789319,1.791759469228055,8.08825472712243,5.517452896464707,3.8918202981106265,1.791759469228055,0.9659258262890683,-0.25881904510252063,0,morning,1,5,1,0.0,0.09531017980432487,0.0,0.09531017980432487,Web App
120.0,79.0,7,4,1,2026,True,76,52,3,2,5.0,14866.0,6,False,False,Productivity,0,0.0,0,0.0,True,1,14871.0,9.60723552940128,1.791759469228055,9.60689927061335,4.343805421853684,3.970291913552122,1.9459101490553132,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.0,0.0,0.0,Productivity
65.0,128.0,7,3,5,2023,True,301,55,3,3,172.0,759.0,6,False,False,Web App,0,0.0,0,0.0,True,0,931.0,6.837332814685591,5.153291594497779,6.633318433280377,5.71042701737487,4.02535169073515,1.9459101490553132,0.9659258262890683,-0.25881904510252063,0,morning,0,0,0,0.0,0.0,0.0,0.0,Web App
2.0,1.0,20,3,7,2023,False,150,35,3,1,164.0,5843.0,3,False,True,Hiring,1,65.0,0,0.0,False,0,6007.0,8.700847193443972,5.10594547390058,8.67317077287059,5.017279836814924,3.58351893845611,1.3862943611198906,-0.8660254037844386,0.5000000000000001,0,evening,0,0,1,0.6931471805599453,4.189654742026425,0.0,0.0,Other
